name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_zhtt_eeet_8TeV_Zjets_b_11                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_eeet_8TeV_Zjets_b_12                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_eeet_8TeV_Zjets_b_13                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_eeet_8TeV_Zjets_b_14                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_eemt_8TeV_Zjets_b_1                   0.00 +/- 0.99    -0.01 +/- 0.98 (-0.01sig, 0.99)    -0.01 +/- 0.98 (-0.01sig, 0.99)       +0.00
CMS_zhtt_eemt_8TeV_Zjets_b_10                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_eemt_8TeV_Zjets_b_11                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_eemt_8TeV_Zjets_b_12                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_eemt_8TeV_Zjets_b_13                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_eemt_8TeV_Zjets_b_14                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_eemt_8TeV_Zjets_b_9                   0.00 +/- 0.99    -0.01 +/- 0.98 (-0.01sig, 0.99)    -0.01 +/- 0.98 (-0.01sig, 0.99)       +0.00
CMS_zhtt_eett_8TeV_Zjets_b_1                   0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_mmet_8TeV_Zjets_b_11                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_mmet_8TeV_Zjets_b_12                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_mmet_8TeV_Zjets_b_13                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_mmet_8TeV_Zjets_b_14                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_mmme_8TeV_Zjets_b_1                   0.00 +/- 0.99    -0.02 +/- 0.98 (-0.02sig, 0.99)    -0.02 +/- 0.98 (-0.02sig, 0.99)       +0.00
CMS_zhtt_mmme_8TeV_Zjets_b_10                  0.00 +/- 0.99    -0.01 +/- 0.98 (-0.01sig, 0.99)    -0.01 +/- 0.98 (-0.01sig, 0.99)       +0.00
CMS_zhtt_mmme_8TeV_Zjets_b_11                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_mmme_8TeV_Zjets_b_12                  0.00 +/- 0.99    -0.01 +/- 0.98 (-0.01sig, 0.99)    -0.01 +/- 0.98 (-0.01sig, 0.99)       +0.00
CMS_zhtt_mmme_8TeV_Zjets_b_13                  0.00 +/- 0.99    -0.01 +/- 0.98 (-0.01sig, 0.99)    -0.01 +/- 0.98 (-0.01sig, 0.99)       +0.00
CMS_zhtt_mmme_8TeV_Zjets_b_5                   0.00 +/- 0.99    -0.02 +/- 0.98 (-0.02sig, 0.99)    -0.02 +/- 0.98 (-0.02sig, 0.99)       +0.00
CMS_zhtt_mmme_8TeV_Zjets_b_6                   0.00 +/- 0.99    +0.12 +/- 0.97 (+0.12sig, 0.98)    +0.11 +/- 0.98 (+0.11sig, 0.99)       -0.01
CMS_zhtt_mmme_8TeV_Zjets_b_7                   0.00 +/- 0.99    -0.02 +/- 0.98 (-0.02sig, 0.99)    -0.01 +/- 0.98 (-0.01sig, 0.99)       +0.00
CMS_zhtt_mmme_8TeV_Zjets_b_8                   0.00 +/- 0.99    +0.19 +/- 0.96 (+0.19sig, 0.97)    +0.18 +/- 0.97 (+0.19sig, 0.97)       -0.01
CMS_zhtt_mmme_8TeV_Zjets_b_9                   0.00 +/- 0.99    -0.01 +/- 0.98 (-0.01sig, 0.99)    -0.01 +/- 0.98 (-0.01sig, 0.99)       +0.00
CMS_zhtt_mmmt_8TeV_Zjets_b_1                   0.00 +/- 0.99    +0.09 +/- 0.98 (+0.09sig, 0.99)    +0.08 +/- 0.98 (+0.08sig, 0.99)       -0.01
CMS_zhtt_mmmt_8TeV_Zjets_b_10                  0.00 +/- 0.99    -0.01 +/- 0.98 (-0.01sig, 0.99)    -0.01 +/- 0.98 (-0.01sig, 0.99)       +0.00
CMS_zhtt_mmmt_8TeV_Zjets_b_11                  0.00 +/- 0.99    -0.01 +/- 0.98 (-0.01sig, 0.99)    -0.01 +/- 0.98 (-0.01sig, 0.99)       +0.00
CMS_zhtt_mmmt_8TeV_Zjets_b_12                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_mmmt_8TeV_Zjets_b_13                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_mmmt_8TeV_Zjets_b_14                  0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
CMS_zhtt_mmmt_8TeV_Zjets_b_9                   0.00 +/- 0.99    -0.01 +/- 0.98 (-0.01sig, 0.99)    -0.01 +/- 0.98 (-0.01sig, 0.99)       +0.00
CMS_zhtt_mmtt_8TeV_Zjets_b_1                   0.00 +/- 0.99    -0.00 +/- 0.98 (-0.00sig, 0.99)    -0.00 +/- 0.98 (-0.00sig, 0.99)       +0.00
QCDscale_VH                                    0.00 +/- 1.00    +0.00 +/- 0.99 (+0.00sig, 0.99)    +0.00 +/- 0.99 (+0.00sig, 0.99)       -0.00
QCDscale_VV                                    0.00 +/- 1.00    +0.01 +/- 0.98 (+0.01sig, 0.99)    -0.04 +/- 0.99 (-0.04sig, 0.99)       -0.08
lumi_7TeV                                      0.00 +/- 1.00    -0.02 +/- 0.99 (-0.02sig, 0.99)    -0.04 +/- 0.99 (-0.04sig, 0.99)       -0.04
lumi_8TeV                                      0.00 +/- 1.00    +0.12 +/- 0.98 (+0.12sig, 0.98)    +0.08 +/- 0.98 (+0.08sig, 0.99)       -0.09
pdf_qqbar                                      0.00 +/- 1.00    +0.07 +/- 0.98 (+0.07sig, 0.98)    +0.00 +/- 0.99 (+0.00sig, 0.99)       -0.14
r                                              [-5.00, 5.00]                              n/a                     +0.96 +/- 1.78       +1.00
